Date, Open, High, Low, Close, Volume
10/19/22, 10.45, 10.73, 10.33, 10.60, 458063
10/18/22, 10.65, 10.94, 10.38, 10.64, 645812
10/17/22, 9.94, 10.32, 9.915, 10.32, 1033079
10/14/22, 10.52, 10.59, 9.60, 9.65, 752468
10/13/22, 10.20, 10.60, 9.96, 10.41, 1482303
10/12/22, 10.69, 10.89, 10.36, 10.53, 767705
10/11/22, 11.09, 11.13, 10.27, 10.70, 723456
10/10/22, 10.84, 11.11, 10.47, 11.07, 751955
10/07/22, 11.07, 11.21, 10.75, 10.85, 789358
10/06/22, 11.01, 11.278, 11.01, 11.17, 691208
10/05/22, 11.07, 11.17, 10.84, 11.12, 994631
10/04/22, 10.85, 11.11, 10.65, 11.07, 951834
10/03/22, 11.04, 11.04, 9.79, 10.44, 2517045
09/30/22, 10.99, 11.57, 10.86, 11.12, 966743
09/29/22, 10.64, 11.35, 10.57, 11.06, 1214743
09/28/22, 9.98, 10.98, 9.97, 10.84, 571051
09/27/22, 9.60, 10.06, 9.51, 9.81, 808699
09/26/22, 9.89, 10.085, 9.43, 9.46, 696423
09/23/22, 10.20, 10.41, 9.86, 10.00, 715336
09/22/22, 10.28, 10.47, 10.145, 10.38, 882659
09/21/22, 10.86, 10.88, 10.34, 10.36, 557473
09/20/22, 10.27, 11.04, 10.24, 10.79, 551238
09/19/22, 10.68, 10.82, 10.235, 10.40, 1031936
09/16/22, 11.64, 11.64, 10.775, 10.88, 8783130
09/15/22, 11.85, 12.23, 11.74, 11.90, 1023296
09/14/22, 11.62, 12.01, 11.38, 12.00, 1692966
09/13/22, 11.24, 11.79, 11.222, 11.63, 1313851
09/12/22, 11.80, 12.08, 11.76, 11.97, 1285166
09/09/22, 11.44, 11.80, 11.44, 11.75, 1046325
09/08/22, 10.97, 11.47, 10.76, 11.36, 933603
09/07/22, 10.99, 11.22, 10.765, 11.15, 854044
09/06/22, 10.68, 11.10, 10.68, 10.99, 1507343
09/02/22, 10.80, 10.91, 10.51, 10.58, 477057
09/01/22, 10.78, 11.038, 10.24, 10.72, 970225
08/31/22, 11.26, 11.35, 10.87, 11.00, 971013
08/30/22, 11.11, 11.21, 10.92, 11.12, 477682
08/29/22, 10.57, 11.25, 10.57, 11.05, 807463
08/26/22, 11.53, 11.77, 10.76, 10.82, 800511
08/25/22, 11.47, 11.53, 11.26, 11.50, 532632
08/24/22, 11.07, 11.53, 11.07, 11.44, 529592
08/23/22, 11.24, 11.42, 10.99, 11.09, 612670
08/22/22, 10.64, 11.10, 10.51, 11.09, 654419
08/19/22, 11.13, 11.26, 10.82, 10.88, 431177
08/18/22, 11.26, 11.515, 11.09, 11.38, 557105
08/17/22, 11.54, 11.63, 11.06, 11.35, 861352
08/16/22, 11.98, 12.32, 11.72, 11.79, 840275
08/15/22, 11.98, 12.00, 11.505, 11.91, 1049443
08/12/22, 11.70, 12.07, 11.53, 11.98, 859253
08/11/22, 11.78, 12.02, 11.56, 11.67, 1261717
08/10/22, 11.84, 11.98, 11.65, 11.69, 1222296
08/09/22, 10.95, 11.54, 10.895, 11.49, 1130830
08/08/22, 11.65, 11.65, 10.78, 11.15, 1363791
08/05/22, 11.17, 11.40, 10.30, 11.23, 2532560
08/04/22, 12.00, 13.55, 11.53, 11.71, 3142445
08/03/22, 10.42, 10.68, 10.10, 10.51, 1863284
08/02/22, 9.78, 10.51, 9.78, 10.20, 1088025
08/01/22, 9.45, 10.07, 9.31, 9.91, 1203645
07/29/22, 9.43, 9.62, 9.25, 9.53, 831452
07/28/22, 9.63, 9.70, 9.22, 9.49, 674970
07/27/22, 9.44, 9.605, 9.26, 9.60, 682696
07/26/22, 9.15, 9.3075, 8.77, 9.26, 780971
07/25/22, 9.36, 9.53, 9.10, 9.26, 437322
07/22/22, 9.58, 9.605, 9.20, 9.36, 605100
